second,Volt,Volt
-2.500000E-03,-964.824110E-03,-402.010E-06
-2.497500E-03,-964.824110E-03,-804.020E-06
-2.495000E-03,-984.924613E-03,-402.010E-06
-2.492500E-03,-964.824110E-03,-402.010E-06
-2.490000E-03,-964.824110E-03,-402.010E-06
-2.487500E-03,-964.824110E-03,-402.010E-06
-2.485000E-03,-964.824110E-03,-402.010E-06
-2.482500E-03,-964.824110E-03,-804.020E-06
-2.480000E-03,-964.824110E-03,-402.010E-06
-2.477500E-03,-964.824110E-03,-0.0E+00
-2.475000E-03,-964.824110E-03,-0.0E+00
-2.472500E-03,-964.824110E-03,-402.010E-06
-2.470000E-03,-964.824110E-03,-402.010E-06
-2.467500E-03,-964.824110E-03,-402.010E-06
-2.465000E-03,-964.824110E-03,-0.0E+00
-2.462500E-03,-964.824110E-03,-0.0E+00
-2.460000E-03,-964.824110E-03,-402.010E-06
-2.457500E-03,-944.723608E-03,-402.010E-06
-2.455000E-03,-964.824110E-03,-402.010E-06
-2.452500E-03,-944.723608E-03,-402.010E-06
-2.450000E-03,-964.824110E-03,+0.0E+00
-2.447500E-03,-944.723608E-03,+0.0E+00
-2.445000E-03,-944.723608E-03,-402.010E-06
-2.442500E-03,-964.824110E-03,-402.010E-06
-2.440000E-03,-964.824110E-03,-804.020E-06
-2.437500E-03,-944.723608E-03,-402.010E-06
-2.435000E-03,-944.723608E-03,+0.0E+00
-2.432500E-03,-944.723608E-03,-402.010E-06
-2.430000E-03,-944.723608E-03,+0.0E+00
-2.427500E-03,-944.723608E-03,-804.020E-06
-2.425000E-03,-944.723608E-03,-402.010E-06
-2.422500E-03,-944.723608E-03,-0.0E+00
-2.420000E-03,-944.723608E-03,-402.010E-06
-2.417500E-03,-944.723608E-03,-402.010E-06
-2.415000E-03,-924.623106E-03,-402.010E-06
-2.412500E-03,-924.623106E-03,+0.0E+00
-2.410000E-03,-904.522603E-03,+0.0E+00
-2.407500E-03,-924.623106E-03,-0.0E+00
-2.405000E-03,-944.723608E-03,-0.0E+00
-2.402500E-03,-924.623106E-03,-0.0E+00
-2.400000E-03,-924.623106E-03,-402.010E-06
-2.397500E-03,-904.522603E-03,-402.010E-06
-2.395000E-03,-904.522603E-03,+0.0E+00
-2.392500E-03,-904.522603E-03,+0.0E+00
-2.390000E-03,-904.522603E-03,-0.0E+00
-2.387500E-03,-884.422101E-03,+0.0E+00
-2.385000E-03,-904.522603E-03,+0.0E+00
-2.382500E-03,-924.623106E-03,-402.010E-06
-2.380000E-03,-884.422101E-03,-804.020E-06
-2.377500E-03,-884.422101E-03,+0.0E+00
-2.375000E-03,-884.422101E-03,+0.0E+00
-2.372500E-03,-884.422101E-03,+402.010E-06
-2.370000E-03,-884.422101E-03,-402.010E-06
-2.367500E-03,-864.321599E-03,-0.0E+00
-2.365000E-03,-864.321599E-03,+0.0E+00
-2.362500E-03,-884.422101E-03,+0.0E+00
-2.360000E-03,-864.321599E-03,+0.0E+00
-2.357500E-03,-884.422101E-03,+0.0E+00
-2.355000E-03,-844.221096E-03,+0.0E+00
-2.352500E-03,-864.321599E-03,+0.0E+00
-2.350000E-03,-844.221096E-03,+0.0E+00
-2.347500E-03,-844.221096E-03,+0.0E+00
-2.345000E-03,-864.321599E-03,-0.0E+00
-2.342500E-03,-844.221096E-03,-402.010E-06
-2.340000E-03,-844.221096E-03,+0.0E+00
-2.337500E-03,-844.221096E-03,+0.0E+00
-2.335000E-03,-824.120594E-03,+402.010E-06
-2.332500E-03,-844.221096E-03,+402.010E-06
-2.330000E-03,-824.120594E-03,+0.0E+00
-2.327500E-03,-824.120594E-03,+0.0E+00
-2.325000E-03,-824.120594E-03,+0.0E+00
-2.322500E-03,-824.120594E-03,+0.0E+00
-2.320000E-03,-804.020092E-03,+0.0E+00
-2.317500E-03,-824.120594E-03,+0.0E+00
-2.315000E-03,-804.020092E-03,+0.0E+00
-2.312500E-03,-804.020092E-03,+0.0E+00
-2.310000E-03,-804.020092E-03,+402.010E-06
-2.307500E-03,-783.919590E-03,+0.0E+00
-2.305000E-03,-783.919590E-03,+0.0E+00
-2.302500E-03,-763.819087E-03,+0.0E+00
-2.300000E-03,-783.919590E-03,+402.010E-06
-2.297500E-03,-783.919590E-03,+0.0E+00
-2.295000E-03,-783.919590E-03,+402.010E-06
-2.292500E-03,-763.819087E-03,-402.010E-06
-2.290000E-03,-743.718585E-03,+402.010E-06
-2.287500E-03,-783.919590E-03,+0.0E+00
-2.285000E-03,-743.718585E-03,+0.0E+00
-2.282500E-03,-723.618083E-03,+0.0E+00
-2.280000E-03,-743.718585E-03,+402.010E-06
-2.277500E-03,-743.718585E-03,+0.0E+00
-2.275000E-03,-723.618083E-03,+804.020E-06
-2.272500E-03,-703.517580E-03,+0.0E+00
-2.270000E-03,-723.618083E-03,+0.0E+00
-2.267500E-03,-683.417078E-03,+402.010E-06
-2.265000E-03,-743.718585E-03,+402.010E-06
-2.262500E-03,-703.517580E-03,+402.010E-06
-2.260000E-03,-683.417078E-03,+0.0E+00
-2.257500E-03,-703.517580E-03,+0.0E+00
-2.255000E-03,-683.417078E-03,+402.010E-06
-2.252500E-03,-663.316576E-03,+0.0E+00
-2.250000E-03,-683.417078E-03,+402.010E-06
-2.247500E-03,-663.316576E-03,+402.010E-06
-2.245000E-03,-683.417078E-03,+402.010E-06
-2.242500E-03,-663.316576E-03,+804.020E-06
-2.240000E-03,-643.216074E-03,+402.010E-06
-2.237500E-03,-643.216074E-03,+402.010E-06
-2.235000E-03,-643.216074E-03,+402.010E-06
-2.232500E-03,-643.216074E-03,+0.0E+00
-2.230000E-03,-643.216074E-03,+402.010E-06
-2.227500E-03,-623.115571E-03,+804.020E-06
-2.225000E-03,-623.115571E-03,+402.010E-06
-2.222500E-03,-582.914567E-03,+402.010E-06
-2.220000E-03,-603.015069E-03,+804.020E-06
-2.217500E-03,-603.015069E-03,+402.010E-06
-2.215000E-03,-603.015069E-03,+804.020E-06
-2.212500E-03,-582.914567E-03,+402.010E-06
-2.210000E-03,-582.914567E-03,+402.010E-06
-2.207500E-03,-562.814064E-03,+402.010E-06
-2.205000E-03,-562.814064E-03,+402.010E-06
-2.202500E-03,-562.814064E-03,+402.010E-06
-2.200000E-03,-542.713562E-03,+804.020E-06
-2.197500E-03,-542.713562E-03,+804.020E-06
-2.195000E-03,-542.713562E-03,+804.020E-06
-2.192500E-03,-522.613060E-03,+402.010E-06
-2.190000E-03,-522.613060E-03,+402.010E-06
-2.187500E-03,-522.613060E-03,+402.010E-06
-2.185000E-03,-522.613060E-03,+804.020E-06
-2.182500E-03,-502.512557E-03,+804.020E-06
-2.180000E-03,-522.613060E-03,+804.020E-06
-2.177500E-03,-522.613060E-03,+804.020E-06
-2.175000E-03,-482.412055E-03,+804.020E-06
-2.172500E-03,-482.412055E-03,+402.010E-06
-2.170000E-03,-482.412055E-03,+804.020E-06
-2.167500E-03,-462.311553E-03,+402.010E-06
-2.165000E-03,-462.311553E-03,+804.020E-06
-2.162500E-03,-462.311553E-03,+402.010E-06
-2.160000E-03,-462.311553E-03,+804.020E-06
-2.157500E-03,-442.211051E-03,+804.020E-06
-2.155000E-03,-442.211051E-03,+804.020E-06
